time,numOfCellInEpithelium,numOfCellInLymphNode,numOfCellInLaminaPropria,numOfCellInSimulation,numOfDendriticCell,numOfILC3,numOfIEC,numOfIEL,numOfMacrophage,numOfNaiveTCell,numOfFOXP3TregCell,numOfTh1Cell,numOfTh17Cell,numOfInflammatoryIEC,numofApoptoticIEC,numOfHomeostaticIEC,numOfM1Macrophage,numOfM2Macrophage,Nkp44+,Nkp44-
0.0,1500,200,50,1750,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
0.125,1500,200,50,1750,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
0.25,1500,200,50,1750,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
0.375,1500,200,50,1750,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
0.5,1500,200,50,1750,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
0.625,1500,200,50,1750,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
0.75,1500,200,50,1750,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
0.875,1500,200,50,1750,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
1.0,1500,200,50,1750,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
1.125,1501,200,49,1750,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
1.25,1501,200,49,1750,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
1.375,1501,200,49,1750,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
1.5,1500,200,49,1749,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
1.625,1501,200,48,1749,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
1.75,1502,200,47,1749,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
1.875,1503,200,46,1749,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
2.0,1503,200,46,1749,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
2.125,1503,200,46,1749,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
2.25,1503,200,46,1749,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
2.375,1500,200,46,1746,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
2.5,1502,200,43,1745,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
2.625,1500,200,43,1743,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
2.75,1499,200,43,1742,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
2.875,1500,200,42,1742,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
3.0,1502,200,40,1742,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
3.125,1500,200,40,1740,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
3.25,1498,200,38,1736,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
3.375,1498,200,37,1735,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
3.5,1499,200,36,1735,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
3.625,1492,200,36,1728,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
3.75,1493,200,35,1728,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
3.875,1489,200,35,1724,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
4.0,1486,200,35,1721,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
4.125,1486,200,34,1720,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
4.25,1484,200,34,1718,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
4.375,1475,200,33,1708,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
4.5,1475,200,33,1708,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
4.625,1475,200,32,1707,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
4.75,1472,200,32,1704,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
4.875,1471,200,32,1703,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
5.0,1469,200,31,1700,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
5.125,1468,200,31,1699,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
5.25,1465,200,30,1695,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
5.375,1459,200,30,1689,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
5.5,1459,200,29,1688,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
5.625,1456,200,29,1685,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
5.75,1455,200,29,1684,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
5.875,1452,200,29,1681,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
6.0,1450,200,28,1678,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
6.125,1447,200,28,1675,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
6.25,1447,200,25,1672,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
6.375,1446,200,24,1670,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
6.5,1441,200,24,1665,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
6.625,1436,200,24,1660,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
6.75,1434,200,24,1658,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
6.875,1434,200,23,1657,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
7.0,1432,200,23,1655,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
7.125,1428,200,23,1651,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
7.25,1426,200,22,1648,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
7.375,1426,200,22,1648,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
7.5,1423,200,22,1645,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
7.625,1419,200,22,1641,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
7.75,1416,200,21,1637,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
7.875,1417,200,19,1636,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
8.0,1416,200,19,1635,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
8.125,1412,200,19,1631,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
8.25,1406,200,19,1625,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
8.375,1403,200,19,1622,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
8.5,1402,200,17,1619,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
8.625,1399,200,17,1616,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
8.75,1399,200,17,1616,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
8.875,1394,200,17,1611,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
9.0,1394,200,16,1610,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
9.125,1391,200,16,1607,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
9.25,1390,200,15,1605,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
9.375,1389,200,15,1604,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
9.5,1386,200,13,1599,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
9.625,1384,200,13,1597,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
9.75,1383,200,13,1596,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
9.875,1379,200,13,1592,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
10.0,1376,200,13,1589,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
10.125,1374,200,13,1587,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
10.25,1372,200,12,1584,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
10.375,1371,200,12,1583,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
10.5,1364,200,11,1575,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
10.625,1362,200,9,1571,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
10.75,1358,200,9,1567,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
10.875,1355,200,8,1563,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
11.0,1351,200,8,1559,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
11.125,1352,200,6,1558,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
11.25,1345,200,6,1551,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
11.375,1344,200,6,1550,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
11.5,1342,200,5,1547,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
11.625,1339,200,5,1544,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
11.75,1336,200,5,1541,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
11.875,1333,200,4,1537,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
12.0,1330,200,4,1534,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
12.125,1327,200,4,1531,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
12.25,1324,200,3,1527,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
12.375,1319,200,3,1522,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
12.5,1315,200,3,1518,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
12.625,1310,200,3,1513,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
12.75,1305,200,3,1508,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
12.875,1303,200,3,1506,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
13.0,1298,200,2,1500,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
13.125,1295,200,2,1497,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
13.25,1296,200,1,1497,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
13.375,1295,200,1,1496,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
13.5,1285,200,0,1485,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
13.625,1285,200,0,1485,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
13.75,1279,200,0,1479,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
13.875,1277,200,0,1477,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
14.0,1266,201,0,1467,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
14.125,1264,201,0,1465,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
14.25,1259,201,0,1460,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
14.375,1259,201,0,1460,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
14.5,1254,201,0,1455,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
14.625,1248,202,0,1450,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
14.75,1245,202,0,1447,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
14.875,1245,202,0,1447,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
15.0,1243,202,0,1445,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
15.125,1240,203,0,1443,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
15.25,1239,203,0,1442,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
15.375,1239,203,0,1442,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
15.5,1235,205,0,1440,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
15.625,1231,205,0,1436,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
15.75,1230,205,0,1435,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
15.875,1229,205,0,1434,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
16.0,1226,206,0,1432,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
16.125,1222,207,0,1429,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
16.25,1219,208,0,1427,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
16.375,1217,209,0,1426,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
16.5,1212,210,0,1422,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
16.625,1211,210,0,1421,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
16.75,1209,210,0,1419,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
16.875,1208,211,0,1419,50,0,1000,0,0,200,0,0,0,0,0,1000,0,0,0,0
17.0,1204,211,0,1415,50,0,1000,0,0,199,0,0,1,0,0,1000,0,0,0,0
17.125,1203,211,0,1414,50,0,1000,0,0,199,0,0,1,0,0,1000,0,0,0,0
17.25,1201,211,0,1412,50,0,1000,0,0,199,0,0,1,0,0,1000,0,0,0,0
17.375,1199,211,0,1410,50,0,1000,0,0,199,0,0,1,0,0,1000,0,0,0,0
17.5,1196,212,0,1408,50,0,1000,0,0,198,0,0,2,0,0,1000,0,0,0,0
17.625,1194,212,0,1406,50,0,1000,0,0,198,0,0,2,0,0,1000,0,0,0,0
17.75,1192,212,0,1404,50,0,1000,0,0,198,0,0,2,0,0,1000,0,0,0,0
17.875,1191,212,0,1403,50,0,1000,0,0,198,0,0,2,0,0,1000,0,0,0,0
18.0,1190,212,0,1402,50,0,1000,0,0,197,0,0,3,0,0,1000,0,0,0,0
18.125,1187,212,0,1399,50,0,1000,0,0,197,0,0,3,0,0,1000,0,0,0,0
18.25,1186,212,0,1398,50,0,1000,0,0,197,0,0,3,0,0,1000,0,0,0,0
18.375,1186,212,0,1398,50,0,1000,0,0,196,0,0,4,0,0,1000,0,0,0,0
18.5,1184,214,0,1398,50,0,1000,0,0,196,0,0,4,0,0,1000,0,0,0,0
18.625,1183,214,0,1397,50,0,1000,0,0,196,0,0,4,0,0,1000,0,0,0,0
18.75,1181,214,0,1395,50,0,1000,0,0,194,0,0,6,0,0,1000,0,0,0,0
18.875,1181,214,0,1395,50,0,1000,0,0,193,0,0,7,0,0,1000,0,0,0,0
19.0,1178,214,0,1392,50,0,1000,0,0,191,0,0,9,0,0,1000,0,0,0,0
19.125,1174,214,0,1388,50,0,1000,0,0,191,0,0,9,0,0,1000,0,0,0,0
19.25,1171,214,0,1385,50,0,1000,0,0,190,0,0,10,0,0,1000,0,0,0,0
19.375,1170,214,0,1384,50,0,1000,0,0,189,0,0,11,0,0,1000,0,0,0,0
19.5,1164,215,0,1379,50,0,1000,0,0,189,0,0,11,0,0,1000,0,0,0,0
19.625,1163,216,0,1379,50,0,1000,0,0,189,0,0,11,0,0,1000,0,0,0,0
19.75,1161,216,0,1377,50,0,1000,0,0,189,0,0,11,0,0,1000,0,0,0,0
19.875,1160,216,0,1376,50,0,1000,0,0,189,0,0,11,0,0,1000,0,0,0,0
20.0,1158,216,0,1374,50,0,1000,0,0,189,0,0,11,0,0,1000,0,0,0,0
20.125,1158,216,0,1374,50,0,1000,0,0,189,0,0,11,0,0,1000,0,0,0,0
20.25,1155,217,0,1372,50,0,1000,0,0,189,0,0,11,0,0,1000,0,0,0,0
20.375,1155,217,0,1372,50,0,1000,0,0,188,0,0,12,0,0,1000,0,0,0,0
20.5,1154,217,0,1371,50,0,1000,0,0,188,0,0,12,0,0,1000,0,0,0,0
20.625,1153,217,0,1370,50,0,1000,0,0,188,0,0,12,0,0,1000,0,0,0,0
20.75,1151,217,0,1368,50,0,1000,0,0,188,0,0,12,0,0,1000,0,0,0,0
20.875,1150,218,0,1368,50,0,1000,0,0,188,0,0,12,0,0,1000,0,0,0,0
21.0,1150,218,0,1368,50,0,1000,0,0,188,0,0,12,0,0,1000,0,0,0,0
21.125,1150,218,0,1368,50,0,1000,0,0,188,0,0,12,0,0,1000,0,0,0,0
21.25,1148,218,0,1366,50,0,1000,0,0,187,0,0,13,0,0,1000,0,0,0,0
21.375,1145,218,0,1363,50,0,1000,0,0,186,0,0,14,0,0,1000,0,0,0,0
21.5,1145,218,0,1363,50,0,1000,0,0,186,0,0,14,0,0,1000,0,0,0,0
21.625,1143,218,0,1361,50,0,1000,0,0,186,0,0,14,0,0,1000,0,0,0,0
21.75,1142,218,0,1360,50,0,1000,0,0,186,0,0,14,0,0,1000,0,0,0,0
21.875,1141,218,0,1359,50,0,1000,0,0,186,0,0,14,0,0,1000,0,0,0,0
22.0,1140,219,0,1359,50,0,1000,0,0,186,0,0,14,0,0,1000,0,0,0,0
22.125,1140,219,0,1359,50,0,1000,0,0,186,0,0,14,0,0,1000,0,0,0,0
22.25,1138,219,0,1357,50,0,1000,0,0,185,0,0,15,0,0,1000,0,0,0,0
22.375,1136,220,1,1357,50,0,1000,0,0,185,0,0,15,0,0,1000,0,0,0,0
22.5,1135,221,1,1357,50,0,1000,0,0,185,0,0,15,0,0,1000,0,0,0,0
22.625,1135,220,2,1357,50,0,1000,0,0,185,0,0,15,0,0,1000,0,0,0,0
22.75,1136,219,2,1357,50,0,1000,0,0,185,0,0,15,0,0,1000,0,0,0,0
22.875,1135,218,2,1355,50,0,1000,0,0,185,0,0,15,0,0,1000,0,0,0,0
23.0,1135,217,3,1355,50,0,1000,0,0,185,0,0,15,0,0,1000,0,0,0,0
23.125,1134,215,5,1354,50,0,1001,0,0,184,0,0,16,0,0,1001,0,0,0,0
23.25,1136,215,5,1356,50,0,1003,0,0,183,0,0,17,0,0,1003,0,0,0,0
23.375,1136,215,5,1356,50,0,1003,0,0,183,0,0,17,0,0,1003,0,0,0,0
23.5,1135,214,5,1354,50,0,1004,0,0,182,0,0,18,0,0,1004,0,0,0,0
23.625,1136,214,5,1355,50,0,1005,0,0,182,0,0,18,0,0,1005,0,0,0,0
23.75,1134,216,5,1355,50,0,1005,0,0,182,0,0,18,0,0,1005,0,0,0,0
23.875,1134,217,5,1356,50,0,1006,0,0,182,0,0,18,0,0,1006,0,0,0,0
24.0,1134,216,6,1356,50,0,1007,0,0,182,0,0,18,0,0,1007,0,0,0,0
24.125,1134,216,6,1356,50,0,1007,0,0,182,0,0,18,0,0,1007,0,0,0,0
24.25,1135,216,6,1357,50,0,1008,0,0,182,0,0,18,0,0,1008,0,0,0,0
24.375,1135,216,6,1357,50,0,1008,0,0,180,0,0,20,0,0,1008,0,0,0,0
24.5,1134,216,6,1356,50,0,1008,0,0,178,0,0,22,0,0,1008,0,0,0,0
24.625,1136,216,6,1358,50,0,1010,0,0,177,0,0,23,0,0,1010,0,0,0,0
24.75,1136,216,6,1358,50,0,1010,0,0,177,0,0,23,0,0,1010,0,0,0,0
24.875,1135,216,6,1357,50,0,1010,0,0,176,0,0,24,0,0,1010,0,0,0,0
25.0,1134,215,7,1356,50,0,1010,0,0,176,0,0,24,0,0,1010,0,0,0,0
25.125,1134,215,7,1356,50,0,1010,0,0,176,0,0,24,0,0,1010,0,0,0,0
25.25,1135,215,7,1357,50,0,1011,0,0,175,0,0,25,0,0,1011,0,0,0,0
25.375,1136,215,7,1358,50,0,1012,0,0,175,0,0,25,0,0,1012,0,0,0,0
25.5,1137,215,7,1359,50,0,1013,0,0,175,0,0,25,0,0,1013,0,0,0,0
25.625,1140,214,7,1361,50,0,1015,0,0,175,0,0,25,0,0,1015,0,0,0,0
25.75,1140,213,8,1361,50,0,1015,0,0,175,0,0,25,0,0,1015,0,0,0,0
25.875,1140,213,8,1361,50,0,1016,0,0,174,0,0,26,0,0,1016,0,0,0,0
26.0,1140,213,8,1361,50,0,1019,0,0,174,0,0,26,0,0,1019,0,0,0,0
26.125,1141,212,8,1361,50,0,1019,0,0,174,0,0,26,0,0,1019,0,0,0,0
26.25,1141,213,8,1362,50,0,1020,0,0,174,0,0,26,0,0,1020,0,0,0,0
26.375,1142,212,8,1362,50,0,1020,0,0,174,0,0,26,0,1,1019,0,0,0,0
26.5,1143,211,8,1362,50,0,1020,0,0,173,0,0,27,0,2,1018,0,0,0,0
26.625,1144,211,8,1363,50,0,1021,0,0,173,0,0,27,0,3,1018,0,0,0,0
26.75,1144,211,8,1363,50,0,1021,0,0,173,0,0,27,0,3,1018,0,0,0,0
26.875,1146,211,8,1365,50,0,1023,0,0,173,0,0,27,0,3,1020,0,0,0,0
27.0,1147,210,8,1365,50,0,1023,0,0,173,0,0,27,0,3,1020,0,0,0,0
27.125,1148,210,8,1366,50,0,1024,0,0,172,0,0,28,0,3,1021,0,0,0,0
